fiscal_year,months_of_data,report_url
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-2072-12-text-based-on-the-seven-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-2072-12-tables-44-based-on-the-seven-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-11-text-based-on-the-six-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-11-tables-45-based-on-the-six-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-10-text-based-on-the-five-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-10-tables-47-based-on-the-five-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-9-text-based-on-the-four-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-9-tables-47-based-on-the-four-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-8-text-based-on-the-three-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-8-tables-46-based-on-the-three-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-7-text-based-on-the-two-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-7-tables-45-based-on-the-two-months-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-6-text-based-on-the-first-month-data-of-2072-73/
2072/73,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2072-6-tables-45-based-on-the-first-month-data-of-2072-73/
2078/79,12,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-annual-data-of-2078-79/
2080/81,6,https://www.nrb.org.np/red/current-macroeconomic-and-financial-situation-english-based-on-six-months-data-of-2080-81/
